F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3900.727272,3894.030303,4291.727272,4479.242424,4223.212121,4353.030303,5004.696969,4170.151515,-1
3902.787878,3900.212121,4294.818181,4476.151515,4222.696969,4353.030303,5003.151515,4181.484848,-1
3899.181818,3900.727272,4299.454545,4477.181818,4209.30303,4345.818181,4997.484848,4194.878787,-1
3895.575757,3896.60606,4302.545454,4480.787878,4205.696969,4344.787878,4999.030303,4191.272727,-1
3889.909091,3898.151515,4306.151515,4486.969697,4222.181818,4350.969697,5004.181818,4187.151515,-1
3889.393939,3898.151515,4309.242424,4494.181818,4242.787878,4356.121212,4999.030303,4201.575757,-1
3900.212121,3892.484848,4307.181818,4496.242424,4252.575757,4360.242424,4995.939393,4220.121212,-1
3912.060606,3887.848484,4304.090909,4494.181818,4251.545454,4361.272727,5009.848484,4226.30303,-1
3912.060606,3887.848484,4301.515151,4490.060606,4242.272727,4358.696969,5024.787878,4221.151515,-1
3896.60606,3887.848484,4290.181818,4480.272727,4223.727272,4349.939394,5015,4205.181818,-1
3887.333333,3887.333333,4281.424242,4469.969697,4208.272727,4342.727272,4999.545454,4187.151515,-1
3900.212121,3892.484848,4285.545454,4465.848484,4208.787878,4343.757575,5005.212121,4182,-1
3911.030303,3897.121212,4289.666666,4463.272727,4206.212121,4344.272727,5006.242424,4183.545454,-1
3907.939394,3899.696969,4288.121212,4463.272727,4197.969697,4341.696969,4986.666666,4183.545454,-1
3904.848484,3899.181818,4290.181818,4468.424242,4203.121212,4335.515151,4978.939393,4179.939394,-1
3897.636363,3894.545454,4291.727272,4473.575757,4207.757575,4328.818181,4975.848484,4171.696969,-1
3888.878787,3893,4294.30303,4476.666666,4208.272727,4336.030303,4963.484848,4170.666666,-1
3885.787878,3895.575757,4305.121212,4489.545454,4226.30303,4353.030303,4972.757575,4184.575757,-1
3884.242424,3894.545454,4312.333333,4510.151515,4251.030303,4361.787878,4996.454545,4199.515151,-1
3891.969697,3890.424242,4309.757575,4518.393939,4256.696969,4363.848484,5010.363636,4211.363636,-1
3901.757575,3886.818181,4306.666666,4516.848484,4248.969697,4367.454545,5017.575757,4220.121212,-1
3901.242424,3884.757575,4302.545454,4510.666666,4238.151515,4364.363636,5023.757575,4217.545454,-1
3898.666666,3888.878787,4294.30303,4498.30303,4223.727272,4353.545454,5020.666666,4204.151515,-1
3899.696969,3893.515151,4289.666666,4492.121212,4214.454545,4344.787878,5010.363636,4193.333333,-1
3904.848484,3896.090909,4290.181818,4496.757575,4216,4342.727272,4996.969696,4190.242424,-1
3912.060606,3897.636363,4287.090909,4494.696969,4220.121212,4345.30303,4981,4184.575757,-1
3912.575757,3898.666666,4286.060606,4489.030303,4224.242424,4345.818181,4978.424242,4185.090909,-1
3904.848484,3896.60606,4291.727272,4494.181818,4234.030303,4348.393939,4988.727272,4199.515151,-1
3897.121212,3891.969697,4297.393939,4499.333333,4240.727272,4354.060606,4999.545454,4204.666666,-1
3889.909091,3896.090909,4302.545454,4496.242424,4240.727272,4357.151515,5008.818181,4197.454545,-1
3884.242424,3900.727272,4307.181818,4493.151515,4240.212121,4361.787878,5013.969696,4204.151515,-1
3882.696969,3896.60606,4312.333333,4497.272727,4242.787878,4367.454545,5017.575757,4213.939394,-1
3885.272727,3891.969697,4313.363636,4497.787878,4246.393939,4368.484848,5017.060606,4216,-1
3895.060606,3889.393939,4309.757575,4487.484848,4245.363636,4367.969697,5009.333333,4226.30303,-1
3908.969697,3890.939394,4305.121212,4478.212121,4241.757575,4374.151515,5013.969696,4234.030303,-1
3904.848484,3891.969697,4297.90909,4477.696969,4234.545454,4370.030303,5024.787878,4216,-1
3886.818181,3892.484848,4292.757575,4483.878787,4226.818181,4350.969697,5012.424242,4188.696969,-1
3887.333333,3896.090909,4294.30303,4478.727272,4226.30303,4341.696969,4992.333333,4177.878787,-1
3899.181818,3896.090909,4291.727272,4464.30303,4220.636363,4340.151515,4980.484848,4173.757575,-1
3903.30303,3892.484848,4287.60606,4468.939393,4210.333333,4335.515151,4972.242424,4171.181818,-1
3912.575757,3898.151515,4292.757575,4483.363636,4217.030303,4336.545454,4977.90909,4177.878787,-1
3917.727272,3904.333333,4297.393939,4481.818181,4227.848484,4344.787878,4989.242424,4189.212121,-1
3905.878787,3899.696969,4298.424242,4476.151515,4225.787878,4352,4990.787878,4202.60606,-1
3897.636363,3898.666666,4302.545454,4483.363636,4230.424242,4354.575757,4992.333333,4209.30303,-1
3899.696969,3899.696969,4305.636363,4489.545454,4242.787878,4359.212121,5002.121212,4211.363636,-1
3900.212121,3897.121212,4307.181818,4491.090909,4250,4371.060606,5018.60606,4222.696969,-1
3902.272727,3899.181818,4310.272727,4498.30303,4255.151515,4379.818181,5040.757575,4236.60606,-1
3909.484848,3898.666666,4308.212121,4499.848484,4257.727272,4377.757575,5044.878787,4234.545454,-1
3913.090909,3896.090909,4299.969697,4483.363636,4248.454545,4371.060606,5029.939393,4217.545454,-1
3908.454545,3903.818181,4293.272727,4466.363636,4238.151515,4362.818181,5023.757575,4204.151515,-1
3904.333333,3910,4293.787878,4471,4234.030303,4358.181818,5018.090909,4193.333333,-1
3910,3907.939394,4296.878787,4475.636363,4229.393939,4359.212121,4999.545454,4186.636363,-1
3921.333333,3910.515151,4295.848484,4469.454545,4222.696969,4356.636363,4990.787878,4192.818181,-1
3919.272727,3910.515151,4294.818181,4472.030303,4219.090909,4345.30303,4998.515151,4201.060606,-1
3904.848484,3902.272727,4299.454545,4481.30303,4218.575757,4340.151515,4998,4201.060606,-1
3895.575757,3899.181818,4303.575757,4481.818181,4223.727272,4348.90909,4990.272727,4203.121212,-1
3888.363636,3894.030303,4302.030303,4484.90909,4229.90909,4355.60606,4993.878787,4204.151515,-1
3884.242424,3890.424242,4304.090909,4493.666666,4239.696969,4360.242424,5004.181818,4204.151515,-1
3885.272727,3897.121212,4309.757575,4498.30303,4251.030303,4370.030303,5009.848484,4214.454545,-1
3887.848484,3904.848484,4315.424242,4500.363636,4259.787878,4378.272727,5020.151515,4221.666666,-1
3893,3908.969697,4319.030303,4498.30303,4267,4383.424242,5042.818181,4223.212121,-1
3894.030303,3908.454545,4311.818181,4485.939393,4259.272727,4381.363636,5048.484848,4224.242424,-1
3888.878787,3904.333333,4302.545454,4478.727272,4236.090909,4368.484848,5029.424242,4213.424242,-1
3885.272727,3901.242424,4304.090909,4481.30303,4229.393939,4361.787878,5015,4200.030303,-1
3893,3899.181818,4308.212121,4484.393939,4238.666666,4365.90909,5019.121212,4204.151515,-1
3910.515151,3899.696969,4306.151515,4484.90909,4239.181818,4362.30303,5021.181818,4216,-1
3918.757575,3901.242424,4299.454545,4482.333333,4232.484848,4349.424242,5012.424242,4208.787878,-1
3908.454545,3903.30303,4295.848484,4479.242424,4227.848484,4342.727272,4993.878787,4200.545454,-1
3899.696969,3903.30303,4297.90909,4479.242424,4226.818181,4344.272727,4975.848484,4206.212121,-1
3904.848484,3906.393939,4301.515151,4480.787878,4233.515151,4354.575757,4987.181818,4212.393939,-1
3914.121212,3911.030303,4303.060606,4475.121212,4242.272727,4367.969697,5021.181818,4217.030303,-1
3914.636363,3907.939394,4301,4473.060606,4235.060606,4365.393939,5035.090909,4220.121212,-1
3910.515151,3905.363636,4301,4484.90909,4223.727272,4357.151515,5030.454545,4217.030303,-1
