F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3916.181818,3848.696969,4286.060606,4506.545454,4195.393939,4335,4964,4171.181818,-1
3916.696969,3849.727272,4285.030303,4506.545454,4193.333333,4337.060606,4960.90909,4170.666666,-1
3915.666666,3849.212121,4281.939394,4506.545454,4188.696969,4332.939394,4960.90909,4162.939394,-1
3916.696969,3850.757575,4282.969697,4505,4187.666666,4330.878787,4965.030303,4166.030303,-1
3917.727272,3854.878787,4285.545454,4503.454545,4188.181818,4335,4969.666666,4176.848484,-1
3915.151515,3852.818181,4284,4501.90909,4185.60606,4332.939394,4964,4175.30303,-1
3914.636363,3848.696969,4281.424242,4502.424242,4180.969697,4323.151515,4954.212121,4163.969697,-1
3917.727272,3849.212121,4282.969697,4505,4180.969697,4320.575757,4955.757575,4161.90909,-1
3917.727272,3848.181818,4285.030303,4506.545454,4186.121212,4325.727272,4956.787878,4159.333333,-1
3914.636363,3848.181818,4282.969697,4506.030303,4185.090909,4325.727272,4951.636363,4157.272727,-1
3917.212121,3851.272727,4282.454545,4506.545454,4175.30303,4324.181818,4958.848484,4166.030303,-1
3919.787878,3851.272727,4280.90909,4505.515151,4171.696969,4326.242424,4966.060606,4171.181818,-1
3916.696969,3848.696969,4276.787878,4500.363636,4177.878787,4325.212121,4960.90909,4170.666666,-1
3915.666666,3849.212121,4279.878787,4501.393939,4189.212121,4324.181818,4961.939393,4175.30303,-1
3917.727272,3850.242424,4282.969697,4508.090909,4193.333333,4326.242424,4967.090909,4175.30303,-1
3917.727272,3849.212121,4273.696969,4506.030303,4181.484848,4320.575757,4957.30303,4167.060606,-1
3917.212121,3843.545454,4263.393939,4499.848484,4167.575757,4313.363636,4952.151515,4163.454545,-1
3917.727272,3840.454545,4271.121212,4505.515151,4173.242424,4316.969697,4962.454545,4163.969697,-1
3919.272727,3844.575757,4277.30303,4508.60606,4184.575757,4318.515151,4957.30303,4161.90909,-1
3919.787878,3847.666666,4270.60606,4499.848484,4177.363636,4316.454545,4952.151515,4167.575757,-1
3919.272727,3848.696969,4272.151515,4501.90909,4174.272727,4320.575757,4970.696969,4178.90909,-1
3917.212121,3848.696969,4280.393939,4514.272727,4193.333333,4326.757575,4979.969696,4184.060606,-1
3915.151515,3849.212121,4281.424242,4509.121212,4207.242424,4333.454545,4966.575757,4186.636363,-1
3915.666666,3849.727272,4280.393939,4501.90909,4196.424242,4332.424242,4955.757575,4178.393939,-1
3916.696969,3850.242424,4282.454545,4506.545454,4184.060606,4319.545454,4956.272727,4167.060606,-1
3916.181818,3850.242424,4288.121212,4510.666666,4193.333333,4317.484848,4960.393939,4171.181818,-1
3916.181818,3847.151515,4293.787878,4511.696969,4201.575757,4322.121212,4959.878787,4174.787878,-1
3916.696969,3846.636363,4291.727272,4509.636363,4192.30303,4318,4956.787878,4164.484848,-1
3917.727272,3848.181818,4281.939394,4506.030303,4187.151515,4315.939394,4956.272727,4160.878787,-1
3916.181818,3849.727272,4282.454545,4507.060606,4198.484848,4326.242424,4960.393939,4173.242424,-1
3915.666666,3852.30303,4287.60606,4507.060606,4208.787878,4335,4961.939393,4187.151515,-1
3915.666666,3851.272727,4283.484848,4501.90909,4203.121212,4330.363636,4960.90909,4190.242424,-1
3916.181818,3847.666666,4280.393939,4503.454545,4194.363636,4323.151515,4959.878787,4183.545454,-1
3915.666666,3846.636363,4281.939394,4512.212121,4195.393939,4322.121212,4956.787878,4177.878787,-1
3911.545454,3849.212121,4285.545454,4511.181818,4202.090909,4327.787878,4959.878787,4182.515151,-1
3913.090909,3850.757575,4288.121212,4506.545454,4207.757575,4331.393939,4972.757575,4190.757575,-1
3917.212121,3848.696969,4286.060606,4510.151515,4202.090909,4329.333333,4976.363636,4190.242424,-1
3914.636363,3846.636363,4284,4511.181818,4192.30303,4325.727272,4962.454545,4183.030303,-1
3914.121212,3848.696969,4285.545454,4507.575757,4194.363636,4325.727272,4953.696969,4179.939394,-1
3915.666666,3852.818181,4286.060606,4508.090909,4201.575757,4329.333333,4966.575757,4182,-1
3914.636363,3850.757575,4282.969697,4506.030303,4200.545454,4331.393939,4982.545454,4189.212121,-1
3917.212121,3850.242424,4281.939394,4502.939393,4197.969697,4330.878787,4977.90909,4199,-1
3919.272727,3851.787878,4282.969697,4506.545454,4198.484848,4329.848484,4962.969696,4194.878787,-1
3915.666666,3847.666666,4281.939394,4507.060606,4191.272727,4326.757575,4964.515151,4177.363636,-1
3915.666666,3850.242424,4282.969697,4506.545454,4184.060606,4326.242424,4972.757575,4174.272727,-1
3917.727272,3864.151515,4286.575757,4508.090909,4188.696969,4327.787878,4974.30303,4190.242424,-1
3918.242424,3868.272727,4287.090909,4505.515151,4190.242424,4327.787878,4973.787878,4196.939394,-1
3917.727272,3856.424242,4285.030303,4504.484848,4186.121212,4329.333333,4970.181818,4187.151515,-1
3916.181818,3855.909091,4285.030303,4507.575757,4191.787878,4333.454545,4965.030303,4181.484848,-1
3916.696969,3860.545454,4284,4505.515151,4196.939394,4328.30303,4971.212121,4183.545454,-1
3916.696969,3854.363636,4282.454545,4503.969697,4192.30303,4321.60606,4976.878787,4188.696969,-1
3916.181818,3849.212121,4282.454545,4509.636363,4189.212121,4325.212121,4966.060606,4191.787878,-1
3916.181818,3851.272727,4282.454545,4510.666666,4186.636363,4324.181818,4956.787878,4187.666666,-1
3917.727272,3851.272727,4284,4507.575757,4178.90909,4316.969697,4961.424242,4181.484848,-1
3918.242424,3849.727272,4281.939394,4510.151515,4178.393939,4320.060606,4970.696969,4180.969697,-1
3916.696969,3849.727272,4275.242424,4508.090909,4187.151515,4325.212121,4972.242424,4184.060606,-1
3915.151515,3847.666666,4281.424242,4507.060606,4190.757575,4325.212121,4959.363636,4185.090909,-1
3915.151515,3847.666666,4284,4510.151515,4187.666666,4325.212121,4959.363636,4185.090909,-1
3915.666666,3850.757575,4284,4508.60606,4190.242424,4328.818181,4964.515151,4184.575757,-1
3917.212121,3851.272727,4283.484848,4505,4197.969697,4331.393939,4973.787878,4185.60606,-1
3917.727272,3850.757575,4287.090909,4507.575757,4204.666666,4339.636363,4982.545454,4192.30303,-1
3916.696969,3855.909091,4296.878787,4513.757575,4207.757575,4344.272727,4988.212121,4202.60606,-1
3916.181818,3856.939394,4298.424242,4511.696969,4204.666666,4335.515151,4985.636363,4201.575757,-1
3918.757575,3851.787878,4289.666666,4507.060606,4197.969697,4329.333333,4978.939393,4192.818181,-1
